timestamp,zone_datetime,status,zone_name,carbon_intensity_avg,carbon_intensity_unit,fossilFuelPercentage
1633705206,2021-10-08T15:00:00.000Z,ok,IN-MH,688,gCO2eq/kWh,84.87
1633710605,2021-10-08T16:00:00.000Z,ok,IN-MH,698,gCO2eq/kWh,86.19
1633712405,2021-10-08T17:00:00.000Z,ok,IN-MH,683,gCO2eq/kWh,84.28
1633714206,2021-10-08T17:00:00.000Z,ok,IN-MH,683,gCO2eq/kWh,84.28
1633717806,2021-10-08T18:00:00.000Z,ok,IN-MH,683,gCO2eq/kWh,84.28
1633725005,2021-10-08T20:00:00.000Z,ok,IN-MH,720,gCO2eq/kWh,88.96
1633732205,2021-10-08T22:00:00.000Z,ok,IN-MH,667,gCO2eq/kWh,82.46
1633734007,2021-10-08T23:00:00.000Z,ok,IN-MH,674,gCO2eq/kWh,83.37
1633737606,2021-10-09T00:00:00.000Z,ok,IN-MH,727,gCO2eq/kWh,89.9
1633739407,2021-10-09T00:00:00.000Z,ok,IN-MH,727,gCO2eq/kWh,89.9
1633743006,2021-10-09T01:00:00.000Z,ok,IN-MH,657,gCO2eq/kWh,81.21
1633746605,2021-10-09T02:00:00.000Z,ok,IN-MH,695,gCO2eq/kWh,85.83
1633748423,2021-10-09T03:00:00.000Z,ok,IN-MH,622,gCO2eq/kWh,76.78
1633750206,2021-10-09T03:00:00.000Z,ok,IN-MH,622,gCO2eq/kWh,76.78
1633752006,2021-10-09T04:00:00.000Z,ok,IN-MH,703,gCO2eq/kWh,86.83
1633755605,2021-10-09T05:00:00.000Z,ok,IN-MH,704,gCO2eq/kWh,86.97
1633757416,2021-10-09T05:00:00.000Z,ok,IN-MH,704,gCO2eq/kWh,86.97
1633759206,2021-10-09T05:00:00.000Z,ok,IN-MH,688,gCO2eq/kWh,84.85
1633761005,2021-10-09T06:00:00.000Z,ok,IN-MH,687,gCO2eq/kWh,84.73
1633762805,2021-10-09T06:00:00.000Z,ok,IN-MH,693,gCO2eq/kWh,85.4
1633768211,2021-10-09T08:00:00.000Z,ok,IN-MH,694,gCO2eq/kWh,85.54
