timestamp,zone_datetime,status,zone_name,carbon_intensity_avg,carbon_intensity_unit,fossilFuelPercentage
1633671336,2021-10-08T05:00:00.000Z,ok,US-CAL-CISO,302,gCO2eq/kWh,58.01
1633705202,2021-10-08T14:00:00.000Z,ok,US-CAL-CISO,289,gCO2eq/kWh,55.64
1633707002,2021-10-08T15:00:00.000Z,ok,US-CAL-CISO,288,gCO2eq/kWh,55.47
1633708802,2021-10-08T15:00:00.000Z,ok,US-CAL-CISO,284,gCO2eq/kWh,54.89000000000001
1633710602,2021-10-08T16:00:00.000Z,ok,US-CAL-CISO,284,gCO2eq/kWh,54.89000000000001
1633712402,2021-10-08T16:00:00.000Z,ok,US-CAL-CISO,250,gCO2eq/kWh,46.92
1633714202,2021-10-08T17:00:00.000Z,ok,US-CAL-CISO,249,gCO2eq/kWh,46.63
1633717802,2021-10-08T18:00:00.000Z,ok,US-CAL-CISO,222,gCO2eq/kWh,40.64
1633719604,2021-10-08T18:00:00.000Z,ok,US-CAL-CISO,195,gCO2eq/kWh,34.75
1633721405,2021-10-08T19:00:00.000Z,ok,US-CAL-CISO,193,gCO2eq/kWh,34.36
1633723202,2021-10-08T19:00:00.000Z,ok,US-CAL-CISO,196,gCO2eq/kWh,34.88
1633726802,2021-10-08T20:00:00.000Z,ok,US-CAL-CISO,182,gCO2eq/kWh,31.91
1633732202,2021-10-08T22:00:00.000Z,ok,US-CAL-CISO,179,gCO2eq/kWh,31.290000000000003
1633734002,2021-10-08T22:00:00.000Z,ok,US-CAL-CISO,180,gCO2eq/kWh,31.6
1633735803,2021-10-08T23:00:00.000Z,ok,US-CAL-CISO,180,gCO2eq/kWh,31.6
1633737603,2021-10-08T23:00:00.000Z,ok,US-CAL-CISO,188,gCO2eq/kWh,33.47
1633739402,2021-10-09T00:00:00.000Z,ok,US-CAL-CISO,188,gCO2eq/kWh,33.46
1633741202,2021-10-09T00:00:00.000Z,ok,US-CAL-CISO,204,gCO2eq/kWh,37.33
1633743002,2021-10-09T01:00:00.000Z,ok,US-CAL-CISO,205,gCO2eq/kWh,37.75
1633744802,2021-10-09T01:00:00.000Z,ok,US-CAL-CISO,248,gCO2eq/kWh,45.91
1633746602,2021-10-09T02:00:00.000Z,ok,US-CAL-CISO,248,gCO2eq/kWh,45.9
1633748403,2021-10-09T02:00:00.000Z,ok,US-CAL-CISO,264,gCO2eq/kWh,48.74
1633750202,2021-10-09T03:00:00.000Z,ok,US-CAL-CISO,264,gCO2eq/kWh,48.74
1633752003,2021-10-09T03:00:00.000Z,ok,US-CAL-CISO,257,gCO2eq/kWh,48.16
1633753810,2021-10-09T04:00:00.000Z,ok,US-CAL-CISO,257,gCO2eq/kWh,48.16
1633755602,2021-10-09T04:00:00.000Z,ok,US-CAL-CISO,254,gCO2eq/kWh,47.33
1633757406,2021-10-09T05:00:00.000Z,ok,US-CAL-CISO,255,gCO2eq/kWh,47.36
1633759203,2021-10-09T05:00:00.000Z,ok,US-CAL-CISO,250,gCO2eq/kWh,47.77
1633761002,2021-10-09T06:00:00.000Z,ok,US-CAL-CISO,250,gCO2eq/kWh,47.77
1633762802,2021-10-09T07:00:00.000Z,ok,US-CAL-CISO,256,gCO2eq/kWh,49.39
1633764608,2021-10-09T07:00:00.000Z,ok,US-CAL-CISO,256,gCO2eq/kWh,49.39
1633766404,2021-10-09T07:00:00.000Z,ok,US-CAL-CISO,312,gCO2eq/kWh,61.13000000000001
1633768203,2021-10-09T08:00:00.000Z,ok,US-CAL-CISO,312,gCO2eq/kWh,61.14999999999999
1633770002,2021-10-09T08:00:00.000Z,ok,US-CAL-CISO,241,gCO2eq/kWh,45.91
1633771803,2021-10-09T09:00:00.000Z,ok,US-CAL-CISO,241,gCO2eq/kWh,46
1633773602,2021-10-09T09:00:00.000Z,ok,US-CAL-CISO,235,gCO2eq/kWh,44.65
1633775402,2021-10-09T10:00:00.000Z,ok,US-CAL-CISO,234,gCO2eq/kWh,44.62
1633777202,2021-10-09T10:00:00.000Z,ok,US-CAL-CISO,235,gCO2eq/kWh,44.43
1633779003,2021-10-09T11:00:00.000Z,ok,US-CAL-CISO,235,gCO2eq/kWh,44.43
1633780802,2021-10-09T11:00:00.000Z,ok,US-CAL-CISO,238,gCO2eq/kWh,45.22
1633782603,2021-10-09T12:00:00.000Z,ok,US-CAL-CISO,238,gCO2eq/kWh,45.25
1633784402,2021-10-09T12:00:00.000Z,ok,US-CAL-CISO,245,gCO2eq/kWh,46.63
1633786202,2021-10-09T13:00:00.000Z,ok,US-CAL-CISO,245,gCO2eq/kWh,46.61
1633788003,2021-10-09T13:00:00.000Z,ok,US-CAL-CISO,255,gCO2eq/kWh,48.86
1633789802,2021-10-09T14:00:00.000Z,ok,US-CAL-CISO,255,gCO2eq/kWh,48.79
1633791602,2021-10-09T14:00:00.000Z,ok,US-CAL-CISO,259,gCO2eq/kWh,49.7
1633793402,2021-10-09T15:00:00.000Z,ok,US-CAL-CISO,258,gCO2eq/kWh,49.57
