timestamp,zone_datetime,status,zone_name,carbon_intensity_avg,carbon_intensity_unit,fossilFuelPercentage
1634675408,2021-10-19T20:00:00.000Z,ok,UY,147,gCO2eq/kWh,19.03
1634677209,2021-10-19T20:00:00.000Z,ok,UY,147,gCO2eq/kWh,18.92
1634679009,2021-10-19T21:00:00.000Z,ok,UY,147,gCO2eq/kWh,18.92
1634680811,2021-10-19T21:00:00.000Z,ok,UY,145,gCO2eq/kWh,18.39
1634682610,2021-10-19T22:00:00.000Z,ok,UY,145,gCO2eq/kWh,18.39
1634684408,2021-10-19T22:00:00.000Z,ok,UY,146,gCO2eq/kWh,18.56
1634686210,2021-10-19T23:00:00.000Z,ok,UY,146,gCO2eq/kWh,18.56
1634688007,2021-10-20T00:00:00.000Z,ok,UY,146,gCO2eq/kWh,18.64
1634689809,2021-10-20T00:00:00.000Z,ok,UY,146,gCO2eq/kWh,18.64
1634691609,2021-10-20T00:00:00.000Z,ok,UY,145,gCO2eq/kWh,18.41
1634693406,2021-10-20T01:00:00.000Z,ok,UY,145,gCO2eq/kWh,18.41
1634695209,2021-10-20T01:00:00.000Z,ok,UY,145,gCO2eq/kWh,18.47
1634697008,2021-10-20T02:00:00.000Z,ok,UY,145,gCO2eq/kWh,18.47
1634698808,2021-10-20T03:00:00.000Z,ok,UY,147,gCO2eq/kWh,19.03
1634702412,2021-10-20T03:00:00.000Z,ok,UY,146,gCO2eq/kWh,18.67
1634704207,2021-10-20T04:00:00.000Z,ok,UY,146,gCO2eq/kWh,18.67
1634707809,2021-10-20T05:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.66
1634709606,2021-10-20T05:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.65
1634711410,2021-10-20T06:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.65
1634713208,2021-10-20T06:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.64
1634715008,2021-10-20T07:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.64
1634716807,2021-10-20T07:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.64
1634718607,2021-10-20T08:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.64
1634720408,2021-10-20T08:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.64
1634724009,2021-10-20T10:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.64
1634725807,2021-10-20T10:00:00.000Z,ok,UY,142,gCO2eq/kWh,17.64
1634727607,2021-10-20T10:00:00.000Z,ok,UY,150,gCO2eq/kWh,19.31
1634729407,2021-10-20T11:00:00.000Z,ok,UY,150,gCO2eq/kWh,19.31
1634731209,2021-10-20T11:00:00.000Z,ok,UY,47,gCO2eq/kWh,2.57
1634733008,2021-10-20T12:00:00.000Z,ok,UY,48,gCO2eq/kWh,2.57
1634736607,2021-10-20T13:00:00.000Z,ok,UY,68,gCO2eq/kWh,6.13
1634738407,2021-10-20T14:00:00.000Z,ok,UY,69,gCO2eq/kWh,5.84
1634740208,2021-10-20T14:00:00.000Z,ok,UY,69,gCO2eq/kWh,5.84
1634742009,2021-10-20T14:00:00.000Z,ok,UY,91,gCO2eq/kWh,9.86
1634743808,2021-10-20T15:00:00.000Z,ok,UY,91,gCO2eq/kWh,9.88
1634745607,2021-10-20T15:00:00.000Z,ok,UY,114,gCO2eq/kWh,13.33
1634747409,2021-10-20T16:00:00.000Z,ok,UY,114,gCO2eq/kWh,13.4
1634749206,2021-10-20T16:00:00.000Z,ok,UY,114,gCO2eq/kWh,13.18
1634751006,2021-10-20T17:00:00.000Z,ok,UY,114,gCO2eq/kWh,13.209999999999999
1634752810,2021-10-20T17:00:00.000Z,ok,UY,117,gCO2eq/kWh,13.91
1634754608,2021-10-20T18:00:00.000Z,ok,UY,117,gCO2eq/kWh,13.889999999999999
1634756407,2021-10-20T18:00:00.000Z,ok,UY,112,gCO2eq/kWh,12.960000000000003
1634758210,2021-10-20T19:00:00.000Z,ok,UY,111,gCO2eq/kWh,12.93
1634760012,2021-10-20T19:00:00.000Z,ok,UY,101,gCO2eq/kWh,11.24
1634761809,2021-10-20T20:00:00.000Z,ok,UY,97,gCO2eq/kWh,10.71
1634763608,2021-10-20T20:00:00.000Z,ok,UY,70,gCO2eq/kWh,6.619999999999999
1634765409,2021-10-20T21:00:00.000Z,ok,UY,66,gCO2eq/kWh,6.02
1634767208,2021-10-20T21:00:00.000Z,ok,UY,52,gCO2eq/kWh,3.84
1634769009,2021-10-20T22:00:00.000Z,ok,UY,52,gCO2eq/kWh,3.85
1634770809,2021-10-20T22:00:00.000Z,ok,UY,49,gCO2eq/kWh,3.54
1634772608,2021-10-20T23:00:00.000Z,ok,UY,49,gCO2eq/kWh,3.5000000000000004
1634774409,2021-10-21T00:00:00.000Z,ok,UY,46,gCO2eq/kWh,3.29
1634776207,2021-10-21T00:00:00.000Z,ok,UY,46,gCO2eq/kWh,3.29
1634778011,2021-10-21T00:00:00.000Z,ok,UY,47,gCO2eq/kWh,3.65
1634779806,2021-10-21T01:00:00.000Z,ok,UY,47,gCO2eq/kWh,3.66
1634781610,2021-10-21T01:00:00.000Z,ok,UY,28,gCO2eq/kWh,0.29
1634783411,2021-10-21T02:00:00.000Z,ok,UY,28,gCO2eq/kWh,0.3
1634785207,2021-10-21T02:00:00.000Z,ok,UY,27,gCO2eq/kWh,0
1634787009,2021-10-21T03:00:00.000Z,ok,UY,27,gCO2eq/kWh,0
1634788809,2021-10-21T04:00:00.000Z,ok,UY,29,gCO2eq/kWh,0
1634792406,2021-10-21T04:00:00.000Z,ok,UY,45,gCO2eq/kWh,3.26
1634794209,2021-10-21T05:00:00.000Z,ok,UY,45,gCO2eq/kWh,3.27
1634796007,2021-10-21T06:00:00.000Z,ok,UY,38,gCO2eq/kWh,1.53
